iteration,timestamp,client_id,operation,target,phase,failed_node,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
68,1789628127.1376019,client_mr,READ_PRIMARY,primary,normal,,68,68,67,majority,majority,True,failure,0.13,True,False,
68,1789628127.1378317,client_mr,READ_SECONDARY,session_secondary,normal,,68,68,68,majority,majority,True,failure,0.23,True,False,
69,1789628127.1386552,client_mr,READ_PRIMARY,primary,normal,,69,69,68,majority,majority,True,failure,0.13,True,False,
69,1789628127.1388597,client_mr,READ_SECONDARY,session_secondary,normal,,69,69,69,majority,majority,True,failure,0.2,True,False,
70,1789628127.139692,client_mr,READ_PRIMARY,primary,normal,,70,70,69,majority,majority,True,failure,0.14,True,False,
70,1789628127.1398878,client_mr,READ_SECONDARY,session_secondary,normal,,70,70,70,majority,majority,True,failure,0.19,True,False,
71,1789628127.1406405,client_mr,READ_PRIMARY,primary,normal,,71,71,70,majority,majority,True,failure,0.13,True,False,
71,1789628127.1408422,client_mr,READ_SECONDARY,session_secondary,normal,,71,71,71,majority,majority,True,failure,0.2,True,False,
72,1789628127.1416492,client_mr,READ_PRIMARY,primary,normal,,72,72,71,majority,majority,True,failure,0.15,True,False,
72,1789628127.1418865,client_mr,READ_SECONDARY,session_secondary,normal,,72,72,72,majority,majority,True,failure,0.24,True,False,
73,1789628127.1428719,client_mr,READ_PRIMARY,primary,normal,,73,73,72,majority,majority,True,failure,0.17,True,False,
73,1789628127.1430907,client_mr,READ_SECONDARY,session_secondary,normal,,73,73,73,majority,majority,True,failure,0.22,True,False,
74,1789628127.1443384,client_mr,READ_PRIMARY,primary,normal,,74,74,73,majority,majority,True,failure,0.18,True,False,
74,1789628127.1445606,client_mr,READ_SECONDARY,session_secondary,normal,,74,74,74,majority,majority,True,failure,0.22,True,False,
75,1789628127.1454928,client_mr,READ_PRIMARY,primary,normal,,75,75,74,majority,majority,True,failure,0.19,True,False,
75,1789628127.1456995,client_mr,READ_SECONDARY,session_secondary,normal,,75,75,75,majority,majority,True,failure,0.2,True,False,
76,1789628127.146692,client_mr,READ_PRIMARY,primary,normal,,76,76,75,majority,majority,True,failure,0.18,True,False,
76,1789628127.1469212,client_mr,READ_SECONDARY,session_secondary,normal,,76,76,76,majority,majority,True,failure,0.23,True,False,
77,1789628127.1478162,client_mr,READ_PRIMARY,primary,normal,,77,77,76,majority,majority,True,failure,0.17,True,False,
77,1789628127.1480381,client_mr,READ_SECONDARY,session_secondary,normal,,77,77,77,majority,majority,True,failure,0.22,True,False,
78,1789628127.149173,client_mr,READ_PRIMARY,primary,normal,,78,78,77,majority,majority,True,failure,0.21,True,False,
78,1789628127.149419,client_mr,READ_SECONDARY,session_secondary,normal,,78,78,78,majority,majority,True,failure,0.24,True,False,
79,1789628127.1504288,client_mr,READ_PRIMARY,primary,normal,,79,79,78,majority,majority,True,failure,0.22,True,False,
79,1789628127.150664,client_mr,READ_SECONDARY,session_secondary,normal,,79,79,79,majority,majority,True,failure,0.23,True,False,
80,1789628127.1517143,client_mr,READ_PRIMARY,primary,normal,,80,80,79,majority,majority,True,failure,0.24,True,False,
80,1789628127.1519778,client_mr,READ_SECONDARY,session_secondary,normal,,80,80,80,majority,majority,True,failure,0.26,True,False,
81,1789628127.1529717,client_mr,READ_PRIMARY,primary,normal,,81,81,80,majority,majority,True,failure,0.21,True,False,
81,1789628127.1531832,client_mr,READ_SECONDARY,session_secondary,normal,,81,81,81,majority,majority,True,failure,0.21,True,False,
82,1789628127.154303,client_mr,READ_PRIMARY,primary,normal,,82,82,81,majority,majority,True,failure,0.19,True,False,
82,1789628127.154593,client_mr,READ_SECONDARY,session_secondary,normal,,82,82,82,majority,majority,True,failure,0.25,True,False,
83,1789628127.1554801,client_mr,READ_PRIMARY,primary,normal,,83,83,82,majority,majority,True,failure,0.18,True,False,
83,1789628127.1556966,client_mr,READ_SECONDARY,session_secondary,normal,,83,83,83,majority,majority,True,failure,0.22,True,False,
84,1789628127.156667,client_mr,READ_PRIMARY,primary,normal,,84,84,83,majority,majority,True,failure,0.21,True,False,
84,1789628127.1569176,client_mr,READ_SECONDARY,session_secondary,normal,,84,84,84,majority,majority,True,failure,0.25,True,False,
85,1789628127.158084,client_mr,READ_PRIMARY,primary,normal,,85,85,84,majority,majority,True,failure,0.21,True,False,
85,1789628127.1583722,client_mr,READ_SECONDARY,session_secondary,normal,,85,85,85,majority,majority,True,failure,0.29,True,False,
86,1789628127.159449,client_mr,READ_PRIMARY,primary,normal,,86,86,85,majority,majority,True,failure,0.17,True,False,
86,1789628127.1596713,client_mr,READ_SECONDARY,session_secondary,normal,,86,86,86,majority,majority,True,failure,0.22,True,False,
87,1789628127.160738,client_mr,READ_PRIMARY,primary,normal,,87,87,86,majority,majority,True,failure,0.17,True,False,
87,1789628127.160985,client_mr,READ_SECONDARY,session_secondary,normal,,87,87,87,majority,majority,True,failure,0.24,True,False,
88,1789628127.1621637,client_mr,READ_PRIMARY,primary,normal,,88,88,87,majority,majority,True,failure,0.29,True,False,
88,1789628127.162459,client_mr,READ_SECONDARY,session_secondary,normal,,88,88,88,majority,majority,True,failure,0.29,True,False,
89,1789628127.1635005,client_mr,READ_PRIMARY,primary,normal,,89,89,88,majority,majority,True,failure,0.19,True,False,
89,1789628127.1637425,client_mr,READ_SECONDARY,session_secondary,normal,,89,89,89,majority,majority,True,failure,0.24,True,False,
90,1789628127.1649127,client_mr,READ_PRIMARY,primary,normal,,90,90,89,majority,majority,True,failure,0.2,True,False,
90,1789628127.1651459,client_mr,READ_SECONDARY,session_secondary,normal,,90,90,90,majority,majority,True,failure,0.23,True,False,
91,1789628127.1659791,client_mr,READ_PRIMARY,primary,normal,,91,91,90,majority,majority,True,failure,0.17,True,False,
91,1789628127.1662252,client_mr,READ_SECONDARY,session_secondary,normal,,91,91,91,majority,majority,True,failure,0.24,True,False,
92,1789628127.1673136,client_mr,READ_PRIMARY,primary,normal,,92,92,91,majority,majority,True,failure,0.16,True,False,
92,1789628127.1675482,client_mr,READ_SECONDARY,session_secondary,normal,,92,92,92,majority,majority,True,failure,0.23,True,False,
93,1789628127.168475,client_mr,READ_PRIMARY,primary,normal,,93,93,92,majority,majority,True,failure,0.16,True,False,
93,1789628127.1686902,client_mr,READ_SECONDARY,session_secondary,normal,,93,93,93,majority,majority,True,failure,0.21,True,False,
94,1789628127.1694913,client_mr,READ_PRIMARY,primary,normal,,94,94,93,majority,majority,True,failure,0.15,True,False,
94,1789628127.1696784,client_mr,READ_SECONDARY,session_secondary,normal,,94,94,94,majority,majority,True,failure,0.19,True,False,
95,1789628127.1706007,client_mr,READ_PRIMARY,primary,normal,,95,95,94,majority,majority,True,failure,0.15,True,False,
95,1789628127.1708393,client_mr,READ_SECONDARY,session_secondary,normal,,95,95,95,majority,majority,True,failure,0.24,True,False,
96,1789628127.17179,client_mr,READ_PRIMARY,primary,normal,,96,96,95,majority,majority,True,failure,0.18,True,False,
96,1789628127.1720777,client_mr,READ_SECONDARY,session_secondary,normal,,96,96,96,majority,majority,True,failure,0.29,True,False,
97,1789628127.1730287,client_mr,READ_PRIMARY,primary,normal,,97,97,96,majority,majority,True,failure,0.17,True,False,
97,1789628127.1732512,client_mr,READ_SECONDARY,session_secondary,normal,,97,97,97,majority,majority,True,failure,0.22,True,False,
98,1789628127.1744473,client_mr,READ_PRIMARY,primary,normal,,98,98,97,majority,majority,True,failure,0.26,True,False,
98,1789628127.1746802,client_mr,READ_SECONDARY,session_secondary,normal,,98,98,98,majority,majority,True,failure,0.23,True,False,
99,1789628127.1759105,client_mr,READ_PRIMARY,primary,normal,,99,99,98,majority,majority,True,failure,0.17,True,False,
99,1789628127.1761699,client_mr,READ_SECONDARY,session_secondary,normal,,99,99,99,majority,majority,True,failure,0.26,True,False,
100,1789628127.1770809,client_mr,READ_PRIMARY,primary,normal,,100,100,99,majority,majority,True,failure,0.17,True,False,
100,1789628127.177326,client_mr,READ_SECONDARY,session_secondary,normal,,100,100,100,majority,majority,True,failure,0.24,True,False,
101,1789628127.1782157,client_mr,READ_PRIMARY,primary,normal,,101,101,100,majority,majority,True,failure,0.19,True,False,
101,1789628127.1785283,client_mr,READ_SECONDARY,session_secondary,normal,,101,101,101,majority,majority,True,failure,0.31,True,False,
102,1789628127.1795335,client_mr,READ_PRIMARY,primary,normal,,102,102,101,majority,majority,True,failure,0.25,True,False,
102,1789628127.1797826,client_mr,READ_SECONDARY,session_secondary,normal,,102,102,102,majority,majority,True,failure,0.25,True,False,
103,1789628127.1807494,client_mr,READ_PRIMARY,primary,normal,,103,103,102,majority,majority,True,failure,0.19,True,False,
103,1789628127.1810415,client_mr,READ_SECONDARY,session_secondary,normal,,103,103,103,majority,majority,True,failure,0.29,True,False,
104,1789628127.182052,client_mr,READ_PRIMARY,primary,normal,,104,104,103,majority,majority,True,failure,0.2,True,False,
104,1789628127.1822999,client_mr,READ_SECONDARY,session_secondary,normal,,104,104,104,majority,majority,True,failure,0.25,True,False,
105,1789628127.183341,client_mr,READ_PRIMARY,primary,normal,,105,105,104,majority,majority,True,failure,0.2,True,False,
105,1789628127.1835759,client_mr,READ_SECONDARY,session_secondary,normal,,105,105,105,majority,majority,True,failure,0.23,True,False,
106,1789628127.1848252,client_mr,READ_PRIMARY,primary,normal,,106,106,105,majority,majority,True,failure,0.2,True,False,
106,1789628127.1851053,client_mr,READ_SECONDARY,session_secondary,normal,,106,106,106,majority,majority,True,failure,0.28,True,False,
107,1789628127.1861842,client_mr,READ_PRIMARY,primary,normal,,107,107,106,majority,majority,True,failure,0.23,True,False,
107,1789628127.186448,client_mr,READ_SECONDARY,session_secondary,normal,,107,107,107,majority,majority,True,failure,0.26,True,False,
108,1789628127.187355,client_mr,READ_PRIMARY,primary,normal,,108,108,107,majority,majority,True,failure,0.17,True,False,
108,1789628127.187587,client_mr,READ_SECONDARY,session_secondary,normal,,108,108,108,majority,majority,True,failure,0.23,True,False,
109,1789628127.1884506,client_mr,READ_PRIMARY,primary,normal,,109,109,108,majority,majority,True,failure,0.17,True,False,
109,1789628127.1886904,client_mr,READ_SECONDARY,session_secondary,normal,,109,109,109,majority,majority,True,failure,0.24,True,False,
110,1789628127.1900086,client_mr,READ_PRIMARY,primary,normal,,110,110,109,majority,majority,True,failure,0.18,True,False,
110,1789628127.190266,client_mr,READ_SECONDARY,session_secondary,normal,,110,110,110,majority,majority,True,failure,0.26,True,False,
111,1789628127.191348,client_mr,READ_PRIMARY,primary,normal,,111,111,110,majority,majority,True,failure,0.18,True,False,
111,1789628127.1915917,client_mr,READ_SECONDARY,session_secondary,normal,,111,111,111,majority,majority,True,failure,0.24,True,False,
112,1789628127.192407,client_mr,READ_PRIMARY,primary,normal,,112,112,111,majority,majority,True,failure,0.18,True,False,
112,1789628127.192612,client_mr,READ_SECONDARY,session_secondary,normal,,112,112,112,majority,majority,True,failure,0.2,True,False,
113,1789628127.1934302,client_mr,READ_PRIMARY,primary,normal,,113,113,112,majority,majority,True,failure,0.18,True,False,
113,1789628127.193628,client_mr,READ_SECONDARY,session_secondary,normal,,113,113,113,majority,majority,True,failure,0.2,True,False,
114,1789628127.1946197,client_mr,READ_PRIMARY,primary,normal,,114,114,113,majority,majority,True,failure,0.21,True,False,
