repeat,model,scenario,profile,phase,attempts,eligible,violations,errors,not_observed,coverage,violation_rate,successful_mr_reads,mr_read_regressions,eligible_workload_p50_ms,eligible_workload_p95_ms,folder
2,mw,normal,weak,overall,1000,1000,0,0,0,1.0,0.0,0,0,25.883,28.46,20260918T142813Z_d0469aad_mw_normal_weak
2,mw,normal,weak,normal,1000,1000,0,0,0,1.0,0.0,0,0,25.883,28.46,20260918T142813Z_d0469aad_mw_normal_weak
2,wfr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.827,22.886,20260918T142841Z_1da2febc_wfr_normal_causal
2,wfr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,19.827,22.886,20260918T142841Z_1da2febc_wfr_normal_causal
2,wfr,failure,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,20.707,37.539,20260918T142903Z_be5aa8ad_wfr_failure_majority
2,wfr,failure,majority,normal,199,199,0,0,0,1.0,0.0,0,0,20.092,23.426,20260918T142903Z_be5aa8ad_wfr_failure_majority
2,wfr,failure,majority,transition,1,1,0,0,0,1.0,0.0,0,0,560.854,560.854,20260918T142903Z_be5aa8ad_wfr_failure_majority
2,wfr,failure,majority,fault,399,399,0,0,0,1.0,0.0,0,0,20.776,36.535,20260918T142903Z_be5aa8ad_wfr_failure_majority
2,wfr,failure,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,20.822,45.92,20260918T142903Z_be5aa8ad_wfr_failure_majority
2,mr,normal,majority,overall,1000,1000,0,0,0,1.0,0.0,2000,0,12.905,15.161,20260918T142937Z_56192591_mr_normal_majority
2,mr,normal,majority,normal,1000,1000,0,0,0,1.0,0.0,2000,0,12.905,15.161,20260918T142937Z_56192591_mr_normal_majority
2,wfr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.821,22.973,20260918T142952Z_0072377e_wfr_failure_causal
2,wfr,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,19.737,23.283,20260918T142952Z_0072377e_wfr_failure_causal
2,wfr,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,124.847,124.847,20260918T142952Z_0072377e_wfr_failure_causal
2,wfr,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,20.291,23.42,20260918T142952Z_0072377e_wfr_failure_causal
2,wfr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,19.346,22.065,20260918T142952Z_0072377e_wfr_failure_causal
2,mr,partition,majority,overall,1000,999,0,1,0,0.999,0.0,1998,0,12.74,15.355,20260918T143023Z_ad8425bf_mr_partition_majority
2,mr,partition,majority,normal,199,199,0,0,0,1.0,0.0,398,0,12.806,14.855,20260918T143023Z_ad8425bf_mr_partition_majority
2,mr,partition,majority,transition,1,1,0,0,0,1.0,0.0,2,0,16.84,16.84,20260918T143023Z_ad8425bf_mr_partition_majority
