model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
ryw,failure,weak,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,5.348,,1,6.028,,1
ryw,failure,weak,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,9.147,,1,9.147,,1
ryw,normal,causal,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,9.591,,1,28.846,,1
ryw,normal,causal,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,9.591,,1,28.846,,1
ryw,normal,majority,normal,1,30,30,1,0,0,0,0,0.03333333333333333,,1,1.0,,1,9.629,,1,16.933,,1
ryw,normal,majority,overall,1,30,30,1,0,0,0,0,0.03333333333333333,,1,1.0,,1,9.629,,1,16.933,,1
ryw,normal,weak,normal,1,30,30,30,0,0,0,0,1.0,,1,1.0,,1,6.08,,1,6.652,,1
ryw,normal,weak,overall,1,30,30,30,0,0,0,0,1.0,,1,1.0,,1,6.08,,1,6.652,,1
ryw,partition,causal,fault,1,9,8,0,1,0,0,0,0.0,,1,0.8888888888888888,,1,2000.043,,1,2003.906,,1
ryw,partition,causal,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,9.805,,1,33.286,,1
ryw,partition,causal,overall,1,30,29,0,1,0,0,0,0.0,,1,0.9666666666666667,,1,119.827,,1,2003.029,,1
ryw,partition,causal,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,120.215,,1,1265.265,,1
ryw,partition,causal,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,14.119,,1,14.119,,1
ryw,partition,majority,fault,1,9,7,0,2,0,0,0,0.0,,1,0.7777777777777778,,1,2000.259,,1,2003.6,,1
ryw,partition,majority,normal,1,9,9,1,0,0,0,0,0.1111111111111111,,1,1.0,,1,9.52,,1,13.733,,1
ryw,partition,majority,overall,1,30,28,1,2,0,0,0,0.03571428571428571,,1,0.9333333333333333,,1,11.339,,1,2001.459,,1
ryw,partition,majority,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,11.339,,1,2001.459,,1
ryw,partition,majority,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,13.915,,1,13.915,,1
ryw,partition,weak,fault,1,9,8,0,1,0,0,0,0.0,,1,0.8888888888888888,,1,6.921,,1,36.274,,1
ryw,partition,weak,normal,1,9,9,1,0,0,0,0,0.1111111111111111,,1,1.0,,1,7.127,,1,31.901,,1
ryw,partition,weak,overall,1,30,29,1,1,0,0,0,0.034482758620689655,,1,0.9666666666666667,,1,6.937,,1,31.901,,1
ryw,partition,weak,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,6.919,,1,13.653,,1
ryw,partition,weak,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,10.496,,1,10.496,,1
wfr,failure,causal,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,25.124,,1,34.4,,1
wfr,failure,causal,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,23.189,,1,58.231,,1
wfr,failure,causal,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,22.941,,1,58.231,,1
wfr,failure,causal,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,21.831,,1,28.097,,1
wfr,failure,causal,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,311.087,,1,311.087,,1
wfr,failure,majority,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,21.654,,1,45.938,,1
wfr,failure,majority,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,21.34,,1,52.959,,1
wfr,failure,majority,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,22.187,,1,52.959,,1
wfr,failure,majority,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,23.742,,1,26.972,,1
wfr,failure,majority,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,278.824,,1,278.824,,1
wfr,failure,weak,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,101.265,,1,115.368,,1
wfr,failure,weak,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,31.214,,1,46.078,,1
wfr,failure,weak,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,99.332,,1,115.368,,1
wfr,failure,weak,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,104.258,,1,108.579,,1
